start,duration
2065374886,16267
2072420298,11101
2075214002,16312
2078818028,15739
2080874358,11195
2082746411,16145
2084068210,11219
2086735380,16108
2086908962,16223
2088059377,11153
2088307328,16096
2089050294,16340
2090299751,15898
2091717660,15618
2092935711,11203
2094517386,15997
2095903458,16236
2096293035,16216
2097524706,11202
2099189946,15660
2102818124,15954
2106819331,15871
2108566604,16023
2114818050,15656
2119618340,15632
2123258738,16156
2124005488,11275
2128563385,16005
2128662093,11206
2132252779,15759
2132534866,15979
2133475786,11134
2139328893,16105
2139616373,16202
2140788959,11004
2141281829,15789
2143388509,15776
2146818402,15369
2146872707,15783
2148090600,11161
2148760363,15864
2153748169,15992
2154818672,15852
2158820080,15700
2162721650,15923
2162846619,16067
2164050418,11179
2166820847,15654
2168817893,15925
2168903300,16242
2170820621,15642
2174819269,15504
2177402415,15675
2178805266,52327
2178932862,16124
2182820153,15727
2186820100,15714
2189008175,15865
2190821782,15872
2191471730,16138
2192692419,11022
2194703127,15799
2195126970,15926
2195934513,11139
2199065096,15887
2199288994,15967
2200307811,16102
2202818902,16214
2208769088,15850
2209172022,15707
2210251720,11056
2210642125,15937
2210805301,60155
2212178164,11201
2212239303,15736
2212351576,16210
2214818929,15806
2217453962,16039
2223742919,15995
2226885066,16236
2227367650,15832
2230820112,15828
2234819971,16076
2238819031,16203
2243639624,15791
2244350388,16153
2245487455,11196
2245780134,15779
2249283020,15794
2249389584,16283
2250818020,16027
2250927228,11216
2254821146,16181
2258819701,15681
2259837715,16264
2260015612,11225
2262819596,16194
2264160423,15988
2266819314,16016
2269502362,15804
2270805302,13217
2270820029,15943
2273740564,15748
2274071937,16379
2275076677,11101
2276032998,16100
2276555803,11220
2284288190,15971
2289539607,15998
2290833651,15888
2294887224,15974
2302827105,15885
2304417478,15577
2306728810,15628
2306820893,15918
2308404669,15874
2308557740,15965
2311403854,15868
2314820334,16164
2319990258,15639
2320281238,15757
2324055546,16023
2324518607,15977
2326032523,15717
2326365094,15768
2327710816,11134
2329798025,15899
2330396125,16095
2332698104,11232
2334821502,16124
2335220401,16113
2336579737,11164
2338819861,15722
2340760999,15690
2340785335,15982
2342819804,15398
2344219928,15893
2344498217,16096
2346755620,15790
2349880251,15886
2349973612,16011
2354819649,15731
2358819394,15479
2362819355,15808
2364777659,15975
2366821539,27565
2368445418,15950
2370338470,15815
2371974497,11219
2374818682,15823
2377682580,15752
2378819177,16009
2379383527,11207
2382820178,15990
2384013913,11109
2384617023,15988
2386805307,30342
2388015957,11157
2389377886,15665
2390152403,16252
